Tahun;Latitude;Longitude;Faskes;Kecamatan;Kasus
2024;-7.016028694;110.3939721;PKM. PEGANDAN;Gajahmungkur;381
2024;-6.986807194;110.4150143;PKM. PANDANARAN (Sentinel ILI);Semarang Selatan;179
2024;-7.005153966;110.4474524;PKM. LAMPER TENGAH;Semarang Selatan;80
2024;-7.013138477;110.4318278;PKM. CANDILAMA;Candisari;199
2024;-7.008363914;110.4174229;PKM. KAGOK;Candisari;233
2024;-7.025904846;110.4604904;PKM. KEDUNG MUNDU;Tembalang;466
2024;-7.055418944;110.4719974;PKM. ROWOSARI;Tembalang;27
2024;-6.980792217;110.4572769;PKM. TELOGOSARI KULON;Pedurungan;95
2024;-6.996495192;110.4646762;PKM. TELOGOSARI WETAN;Pedurungan;238
2024;-6.953077765;110.4796831;PKM. GENUK;Genuk;319
2024;-6.982894323;110.4766665;PKM. BANGET AYU;Genuk;252
2024;-6.994690734;110.4651668;PKM. GAYAM SARI;Gayamsari;685
2024;-6.994723463;110.4376435;PKM. HALMAHERA;Semarang Timur;180
2024;-6.963707461;110.4360494;PKM. KARANG DORO;Semarang Timur;89
2024;-6.971764061;110.4366975;PKM. BUGANGAN;Semarang Timur;68
2024;-6.964754905;110.4225564;PKM. BANDARHARJO;Semarang Utara;281
2024;-6.975063385;110.4069087;PKM. BULU LOR;Semarang Utara;127
2024;-6.973696112;110.4150687;PKM. PONCOL;Semarang Tengah;121
2024;-6.983786153;110.41901;PKM. MIROTO;Semarang Tengah;184
2024;-6.980293609;110.3926029;PKM. KARANG AYU;Semarang Barat;71
2024;-6.993698667;110.3792284;PKM. LEBDOSARI;Semarang Barat;69
2024;-6.993602826;110.3792499;PKM. MANYARAN;Semarang Barat;191
2024;-6.974866016;110.3944352;PKM. KROBOKAN;Semarang Barat;150
2024;-7.000661216;110.3930746;PKM. NGEMPLAK SIMONGAN;Semarang Barat;113
2024;-6.971924629;110.2978818;PKM. MANGKANG;Tugu;32
2024;-6.971741158;110.3347373;PKM. KARANG ANYAR;Tugu;263
2024;-6.998104892;110.3474731;PKM. NGALIAN;Ngaliyan;292
2024;-6.983312963;110.3508313;PKM. TAMBAK AJI;Ngaliyan;132
2024;-6.988102812;110.3675577;PKM. PURWOYOSO;Ngaliyan;381
2024;-7.007534375;110.4196091;RS. ST ELISABETH KOTA SEMARANG;Candisari;569
2024;-6.970118791;110.4397932;RS PANTI WILASA CITARUM;Semarang Timur;225
2024;-7.033665421;110.4660786;RSD K.R.M.T WONGSONEGORO SEMARANG;Tembalang;1040
2024;-7.000454374;110.4465666;RS BHAYANGKARA SEMARANG;Gayamsari;155
2024;-7.001036465;110.4279333;RS ROEMANI MUHAMMADIYAH;Semarang Selatan;744
2024;-6.972767312;110.4344825;RS PANTI WILASA DR. CIPTO;Semarang Timur;823
2024;-6.996032966;110.4073663;RSIA GUNUNG SAWO;Gajahmungkur;0
2024;-7.072387345;110.4114633;RS HERMINA BANYUMANIK;Banyumanik;464
2024;-6.996724117;110.4051304;RSU WILLIAM BOOTH;Gajahmungkur;582
2024;-6.993881681;110.4098608;RSUP Dr. KARIADI;Semarang Selatan;22
2024;-6.999965014;110.3424247;RS PERMATA MEDIKA;Ngaliyan;573
2024;-6.986777263;110.4079005;Rumkit TK.III Bhakti Wira Tamtama;Semarang Selatan;1
2024;-7.078364406;110.4117746;RS BANYUMANIK 2;Banyumanik;49
2024;-7.047622288;110.443654;RS NASIONAL DIPONEGORO;Tembalang;87
2024;-6.984320768;110.3562115;RSUD DR ADHYATMA MPH TUGUREJO;Ngaliyan;595
2024;-7.009626214;110.4631284;RS JIWA DAERAH Dr. AMINO GONDOHUTOMO;Pedurungan;100
2024;-6.998793978;110.4342318;RSIA SILOAM SEMARANG;Semarang Selatan;41
2024;-6.992224266;110.4051002;RSIA ANUGERAH;Semarang Selatan;7
2024;-6.985781556;110.4130101;RS HERMINA PANDANARAN;Semarang Tengah;478
2024;-6.987389117;110.426811;RS TELOGOREJO SEMARANG;Semarang Tengah;297
2024;-6.975759163;110.4364645;RSIA KUSUMA PRADJA;Semarang Timur;5
2024;-6.994314518;110.4331334;RSIA BUNDA;Semarang Timur;53
2024;-7.063643084;110.4167926;RS BANYUMANIK;Banyumanik;95
2024;-7.034115095;110.3286261;RSIA ANANDA PASAR ACE;Mijen;15
2024;-6.984029212;110.3833352;RSKB COLUMBIA ASIA SEMARANG;Semarang Barat;475
2024;-6.955617002;110.4616543;RSI SULTAN AGUNG SEMARANG;Genuk;152
2024;-6.967208357;110.391892;RS KELUARGA SEHAT III KOTA SEMARANG;Semarang Barat;47
2024;-7.022413218;110.489449;PKM. PLAMONGANSARI;Pedurungan;0
2024;-7.05954278;110.4479415;PKM. BULUSAN;Tembalang;0
2024;-6.97742551;110.3872126;RS SAMSOE HIDAJAT;Semarang Barat;0
2024;-7.055583658;110.3145127;RSUD MIJEN;Mijen;0
2024;-7.023328388;110.461669;RS PRIMAYA KOTA SEMARANG;Tembalang;0
2024;-7.023417892;110.4979438;RSIA PLAMONGAN INDAH;Pedurungan;0
2024;-7.066493017;110.3588153;RS CEPOKO;Gunungpati;0
2024;-7.019404886;110.4190708;RS BHAYANGKARA TK III AKPOL;Gajahmungkur;0
2024;-7.02205;110.4587;RS UNIMUS;Tembalang;0
2023;-7.080043039;110.3125563;PKM. MIJEN;Mijen;247
2023;-7.094033286;110.3347737;PKM. KARANG MALANG;Mijen;54
2023;-7.083370488;110.3749703;PKM. GUNUNG PATI;Gunungpati;71
2023;-7.051823094;110.3943721;PKM. SEKARAN;Gunungpati;96
2023;-7.058770177;110.4146735;PKM. SRONDOL;Banyumanik;117
2023;-7.033395586;110.4192109;PKM. NGESREP;Banyumanik;10
2023;-7.05517515;110.4456621;PKM. PADANG SARI;Banyumanik;80
2023;-7.091060118;110.4144414;PKM. PUNDAKPAYUNG;Banyumanik;63
2023;-7.016028694;110.3939721;PKM. PEGANDAN;Gajahmungkur;126
2023;-6.986807194;110.4150143;PKM. PANDANARAN (Sentinel ILI);Semarang Selatan;85
2023;-7.005153966;110.4474524;PKM. LAMPER TENGAH;Semarang Selatan;90
2023;-7.013138477;110.4318278;PKM. CANDILAMA;Candisari;65
2023;-7.008363914;110.4174229;PKM. KAGOK;Candisari;117
2023;-7.025904846;110.4604904;PKM. KEDUNG MUNDU;Tembalang;82
2023;-7.055418944;110.4719974;PKM. ROWOSARI;Tembalang;45
2023;-6.980792217;110.4572769;PKM. TELOGOSARI KULON;Pedurungan;85
2023;-6.996495192;110.4646762;PKM. TELOGOSARI WETAN;Pedurungan;264
2023;-6.953077765;110.4796831;PKM. GENUK;Genuk;125
2023;-6.982894323;110.4766665;PKM. BANGET AYU;Genuk;147
2023;-6.994690734;110.4651668;PKM. GAYAM SARI;Gayamsari;2
2023;-6.994723463;110.4376435;PKM. HALMAHERA;Semarang Timur;112
2023;-6.963707461;110.4360494;PKM. KARANG DORO;Semarang Timur;140
2023;-6.971764061;110.4366975;PKM. BUGANGAN;Semarang Timur;28
2023;-6.964754905;110.4225564;PKM. BANDARHARJO;Semarang Utara;211
2023;-6.975063385;110.4069087;PKM. BULU LOR;Semarang Utara;66
2023;-6.973696112;110.4150687;PKM. PONCOL;Semarang Tengah;48
2023;-6.983786153;110.41901;PKM. MIROTO;Semarang Tengah;62
2023;-6.980293609;110.3926029;PKM. KARANG AYU;Semarang Barat;42
2023;-6.993698667;110.3792284;PKM. LEBDOSARI;Semarang Barat;53
2023;-6.993602826;110.3792499;PKM. MANYARAN;Semarang Barat;71
2023;-6.974866016;110.3944352;PKM. KROBOKAN;Semarang Barat;66
2023;-7.000661216;110.3930746;PKM. NGEMPLAK SIMONGAN;Semarang Barat;57
2023;-6.971924629;110.2978818;PKM. MANGKANG;Tugu;23
2023;-6.971741158;110.3347373;PKM. KARANG ANYAR;Tugu;42
2023;-6.998104892;110.3474731;PKM. NGALIAN;Ngaliyan;145
2023;-6.983312963;110.3508313;PKM. TAMBAK AJI;Ngaliyan;19
2023;-6.988102812;110.3675577;PKM. PURWOYOSO;Ngaliyan;83
